stress	estrés
manipulation	manipulación
unsavory	desagradable
cozy	cosy
brood	cría
usurp	usurpar
prominent	prominente
boom	auge
achievements	logros
invalidate	invalidar
jolt	sacudida
sweeping	general
farcical	absurdo
splendidly	espléndidamente
obsolete	obsoleto
loved	amado
flagging	marcar
erase	borrar
disillusions	desilusiones
negligent	negligente
adulatory	adulador
assail	atacar
slap	bofetada
agilely	ágilmente
deprave	depravar
hell-bent	empeñado
chivalry	caballería
manipulative	manipulativo
opponent	adversario
loyal	leal
vilify	vilipendiar
desirous	deseoso
evil	mal
unsettling	inquietante
brilliance	brillantez
crime	crimen
unreadable	ilegible
renowned	renombrado
fidelity	fidelidad
malignant	maligno
disaffected	desafecto
desertion	deserción
burdensomely	pesadamente
stalemate	estancamiento
simplistic	simplista
attentive	atento
helping	ayudar
idiot	idiota
astounding	impresionante
divergent	divergente
infringements	infracciones
loner	solitario
super	súper
despondence	desaliento
dies	muere
shatter	destrozar
complemented	complementado
castigate	castigar
egregious	enorme
fatuous	fatuo
stunning	maravilloso
accomplishments	logros
cleaner	limpiador
glare	deslumbramiento
blunt	embotado
rebuff	rechazo
mirage	espejismo
thoughtlessness	irreflexión
flickering	parpadeo
refund	reembolso
beauty	belleza
mysterious	misterioso
aggressive	agresivo
adorer	adorador
grudging	avaro
appallingly	horriblemente
unease	malestar
rattles	sonajas
likes	gustos
depress	deprimir
hostilities	hostilidades
limit	límite
alienation	alienación
exult	exultar
charming	encantador
languorously	langurosamente
meritorious	meritorio
unnecessary	innecesario
dust	polvo
restricted	restringido
discontinued	discontinuado
bombard	bombardear
cheats	tramposos
solace	solitud
acerbate	exacerbar
crushing	aplastante
distressingly	penosamente
pleasure	placer
tarnishing	deslustre
worrying	angustioso
engulf	tragarse
spacious	espacioso
begging	mendicidad
censure	censura
repetitive	repetitivo
gumption	agallas
winnable	ganable
steadfast	firme
revert	revertir
sufferers	enfermos
punishable	castigable
enough	suficiente
shake	sacudir
killed	matado
adroitly	diestramente
miscreant	bellaco
insightful	perspicaz
unruly	revoltoso
impeccable	impecable
woefully	lamentablemente
obstructs	obstruye
brazenness	desfachatez
sloppy	descuidado
avaricious	avaro
qualms	reparos
diffidence	timidez
awestruck	atemorizado
illegal	ilegal
eloquently	elocuentemente
dissonance	disonancia
illicit	ilícito
peeved	furioso
perturb	perturbar
utterly	absolutamente
tyrannical	tiránico
procrastinates	posterga
distress	angustia
sickness	enfermedad
astonishment	asombro
disconsolately	desconsoladamente
bum	culo
overwhelm	abrumar
amaze	asombrar
fortuitous	fortuito
misguidance	extravío
inapt	inepto
retarded	retardado
insidiously	insidiosamente
childish	infantil
deceive	engañar
support	apoyo
breakthroughs	avances
stole	estola
premeditated	premeditado
dedicated	dedicado
profane	profano
grieve	afligirse
molestation	acoso
terribly	terriblemente
calamities	calamidades
harmed	perjudicado
anxiously	ansiosamente
anxiety	ansiedad
damned	maldito
spellbound	hechizado
ho-hum	aburrida
lively	animado
demise	fallecimiento
calumniate	calumniar
throbbed	palpitaba
substantive	sustantivo
horrendous	horrendo
sobering	aleccionadora
impropriety	impropiedad
revulsive	revulsivo
scant	escaso
insecurity	inseguridad
annihilation	aniquilación
convient	práctico
offender	delincuente
inculcate	inculcar
enjoying	disfrutando
viciousness	crueldad
confess	confesar
openly	abiertamente
rigidity	rigidez
relentlessly	implacablemente
appal	espantar
lackeys	lacayos
resolute	resuelto
confounding	confusión
logical	lógico
invalidity	invalidez
cracked	agrietado
offence	delito
forbidding	prohibiendo
knock	llamar
harassed	acosado
wildly	salvajemente
antagonist	antagonista
malcontent	malcontento
disgusting	repugnante
dissension	disensión
helpless	impotente
stifling	sofocante
smiles	sonrisas
miscreants	malhechores
pitifully	lastimosamente
standstill	paralización
sensation	sensación
sporty	deportivo
litigious	litigioso
dissapointed	decepcionado
screwed	roscado
inhibition	inhibición
illusory	ilusorio
decency	decencia
fierce	feroz
fretful	irritable
bigotries	intolerancias
preeminent	preeminente
cranky	irritable
disapprove	desaprobar
starkly	crudamente
worthlessly	indignamente
trust	confianza
conceded	concedido
skepticism	escepticismo
glorify	glorificar
boisterous	bullicioso
quandary	dilema
permissible	permisible
beg	mendigar
inadequacy	insuficiencia
affection	afecto
pampered	mimado
foolish	tonto
bountiful	abundante
eventful	memorable
insidious	insidioso
subsidizes	subvenciona
marginally	ligeramente
simpler	sencillo
aggression	agresión
hating	odiando
bonny	hermoso
doggedly	tenazmente
workable	factible
clouding	opacidad
reward	recompensa
corruption	corrupción
admiringly	admirativamente
favorite	favorito
enrichment	enriquecimiento
bizarre	extraño
rape	violación
unbelievably	increíblemente
incorrigible	incorregible
meaningful	significativo
mudslinging	vilipendio
accursed	maldito
humane	humano
feverish	febril
friendly	amistoso
unsustainable	insostenible
scolding	regaño
ambiguity	ambigüedad
madness	locura
bribery	soborno
gloriously	gloriosamente
scolded	regañado
weird	extraño
villainous	villano
indecision	indecisión
semi-retarded	semi-retardado
degrading	degradante
longingly	añoranza
luxurious	lujoso
dire	calamitoso
considerate	considerado
criticize	criticar
leech	sanguijuela
trumpet	trompeta
downcast	alicaído
gleefully	alegremente
deteriorate	deteriorarse
worrier	angustiado
impulsive	impulsivo
puzzlement	perplejidad
unjustifiable	injustificable
marvelled	maravillado
farfetched	rebuscado
opportunistic	oportunista
sue	demandar
unusable	inutilizable
insecure	inseguro
wounds	heridas
cynical	cínico
eager	ansioso
reforms	reformas
sputter	chisporroteo
acerbically	mordacidad
revolutionizes	revoluciona
bleak	triste
hypocrites	hipócritas
shock	choque
impediment	impedimenta
abuses	abusos
unnatural	antinatural
horrify	horrorizar
capsize	zozobrar
outcast	marginado
sweetness	dulzura
ebullient	exuberante
bent	doblado
magnanimous	magnánimo
lunatic	lunático
imprisonment	encarcelamiento
lagged	lag
cheaply	barato
endorse	endosar
choke	estrangulación
harsh	áspero
spoiled	estropeado
smile	sonrisa
startling	asombroso
annoying	molesto
erudite	erudito
salacious	salaz
exonerate	exonerar
winning	ganadora
warp	urdimbre
revives	revive
laughable	cómico
impolitic	impolítico
outlaw	proscribir
suffocate	sofocarse
absurdity	absurdo
influential	influyente
impose	prescribir
wasteful	antieconómico
darling	querido
envious	envidioso
fallacy	falacia
shabby	lamentable
oversimplified	simplificada
favour	favorecer
pimple	espinilla
rebuke	reprensión
ambiguous	ambiguo
omit	omitir
overstated	exagerado
enervate	enervar
deficiencies	deficiencias
ailment	enfermedad
sagged	combado
corrupted	corrompido
skillfully	hábilmente
phenomenal	fenomenal
inaccurately	inexactamente
destroyer	destructor
strictly	estrictamente
bellicose	belicoso
overrun	invadir
exceeded	excedido
distorts	distorsiona
discrimination	discriminación
stability	estabilidad
happiness	felicidad
excellence	excelencia
poised	listo
inferiority	inferioridad
unfortunately	desafortunadamente
illogically	ilógicamente
over-balanced	sobre-equilibrada
infected	infectado
combative	combativo
denounce	denunciar
evasion	evasión
inestimably	inestimablemente
love	amor
kindliness	bondad
controversial	polémico
nauseate	repugnar
ineffective	ineficaz
fugitive	fugitivo
rampage	alboroto
heresy	herejía
vociferously	vociferantemente
insinuating	insinuante
deride	ridiculizar
fortune	fortuna
inglorious	ignominioso
enthrall	cautivar
crabby	malhumorados
inflated	inflado
judder	vibración
grouse	queja
overwhelms	abruma
antagonistic	antagónico
lacks	carece
toil	trabajo
strange	extraño
fantastically	fantásticamente
suitable	adecuado
divisiveness	divisionismo
regressive	regresivo
emaciated	demacrado
chaotic	caótico
congratulate	felicitar
threat	amenaza
charisma	carisma
deprived	privado
rejecting	rechazando
euphorically	eufóricamente
funnily	cómicamente
criticism	crítica
respectful	respetuoso
confused	confundido
exaggerate	exagerar
advocates	defensores
struggling	luchando
animosity	animosidad
impartiality	imparcialidad
exagerated	exagerada
roomy	espacioso
beckoned	señas
freeze	congelar
conspiratorial	conspirador
hideousness	fealdad
shockingly	espantosamente
womanizer	mujeriego
scrambled	revuelto
farcically	grotescamente
futility	futilidad
cripples	lisiados
rampant	rampante
nebulously	vagamente
stricken	afligido
passion	pasión
eminent	eminente
hopelessness	desesperación
luckier	suerte
unusably	inutilizable
ameliorate	mejorar
idiots	idiotas
solemn	solemne
cajole	engatusar
prosper	prosperar
smart	inteligente
awesomely	impresionantemente
handsome	guapo
exhilarate	regocijar
steep	empinado
dissent	disidencia
bereavement	duelo
unfavorable	desfavorable
inadequate	insuficiente
smells	olores
flaking	descamación
elegant	elegante
altercation	altercado
craftily	astutamente
instigators	instigadores
zombie	zombi
lengthy	largo
mediocrity	mediocridad
restructure	reestructurar
futuristic	futurista
improving	mejorar
decry	censurar
fateful	fatídico
pout	abadejo
revolutionize	revolucionar
progressive	progresivo
defile	profanar
revelation	revelación
jarring	discorde
unilateralism	unilateralismo
uplifting	inspirador
bastard	bastardo
superiority	superioridad
ridicules	burlas
blundering	torpe
jittery	nervioso
refutation	refutación
grossly	gravemente
neurotically	neuróticamente
exquisite	exquisito
lawless	ilegal
flicker	parpadeo
overtaken	superado
crumble	desmoronarse
unacceptable	inaceptable
indulgent	indulgente
courage	coraje
ruts	roderas
smoothes	alisa
unfounded	infundado
incessantly	incesantemente
friendliness	amabilidad
shortage	escasez
entrancing	fascinante
despoiler	despojador
fuck	joder
ideally	idealmente
amazed	asombrado
dissuasive	disuasivo
illegally	ilegalmente
irritation	irritación
steadfastness	firmeza
angrily	airadamente
vestiges	vestigios
thrive	prosperar
tamper	antisabotaje
scorchingly	abrasadoramente
hell	infierno
tacky	pegajoso
polished	pulido
shortcomings	deficiencias
miserable	desgraciado
grimace	mueca
merciful	misericordioso
pardon	perdón
discourteously	descortesía
improves	mejora
beneficent	benéfico
breakups	rupturas
squeal	chillido
exceedingly	excesivamente
fiery	ardiente
apotheosis	apoteosis
recovery	recuperación
nebulous	nebuloso
amply	ampliamente
dominated	dominado
plentiful	abundante
ineffectualness	ineficacia
polluters	contaminadores
flourish	florecer
sting	picadura
admonishment	amonestación
fascination	fascinación
sane	cuerdo
distracting	distracción
awsome	impresionante
deservedly	merecidamente
astonishingly	asombrosamente
lighter	encendedor
inadvisable	desaconsejable
disloyalty	deslealtad
impresses	impresiona
solidarity	solidaridad
zenith	cenit
thoughtfully	pensativamente
blurred	borrosa
overtook	superó
disapointing	decepcionante
undersized	insuficiente
subsidized	subvencionado
fanatical	fanático
unsafe	inseguro
insatiable	insaciable
sham	impostor
isolated	aislado
hoax	engaño
losing	perder
humiliate	humillar
melancholy	melancolía
baseless	infundado
lawfully	legalmente
funky	miedoso
insultingly	insultantemente
majestic	majestuoso
upscale	lujo
mulish	terco
perfunctory	superficial
brash	temerario
diabolical	diabólico
charismatic	carismático
romantic	romántico
light-hearted	alegre
fatigue	fatiga
intimidating	intimidante
self-determination	autodeterminación
ineptly	ineptitud
sensational	sensacional
backwardness	atraso
fluster	aturdir
manipulate	manipular
expired	caducado
chaos	caos
motionless	inmóvil
antithetical	antitético
plot	parcela
outstandingly	sobresalientemente
refuted	refutado
calumniously	calumniosa
faithfulness	fidelidad
rumbling	retumbante
whore	puta
harmony	armonía
snagging	enganches
falsehood	falsedad
subtract	sustraer
worst	peor
self-destructive	autodestructivo
delayed	retrasado
impudently	impudentemente
worn	usado
mortified	mortificado
gripe	queja
racism	racismo
demonizes	demoniza
advantageously	ventajosamente
jaw-dropping	asombroso
objectionable	objetable
dexterous	diestro
gainful	remunerativo
mournful	triste
hedge	cobertura
ruffle	volante
unnervingly	desconcertantemente
grudge	rencor
overdo	exagerar
mortifying	mortificante
irk	fastidiar
fraudulent	fraudulento
disgusted	disgustado
anemic	anémico
relentlessness	implacabilidad
belittled	menospreciado
gibe	burla
torment	tormento
hallowed	santificado
illiterate	analfabeto
cuteness	monería
praiseworthy	loable
blessing	bendición
sweaty	sudoroso
gnawing	roer
dote	adorar
collude	confabularse
breakthrough	ruptura
obsess	obsesionar
catastrophes	catástrofes
spurn	desdeñar
remorseless	implacable
unimaginably	inimaginablemente
invincibility	invencibilidad
ambitious	ambicioso
blasphemous	blasfemo
joker	comodín
disapointed	decepcionado
dejection	abatimiento
demolisher	demoledor
ironies	ironías
thwart	frustrar
laud	alabar
amiable	amable
inordinately	desmesuradamente
refuting	refuta
beneficial	sano
inhumane	inhumano
infuriate	enfurecer
excellently	excelentemente
perplexity	perplejidad
bumps	golpes
immorality	inmoralidad
compulsion	compulsión
fawningly	servilmente
ardent	ardiente
rascals	bribones
confuses	confunde
frightful	espantoso
cold	frío
interfere	interferir
freakishly	monstruosamente
limits	límites
messy	confuso
shine	brillo
ineligible	inelegible
splitting	división
fatefully	fatídicamente
fragmented	fragmentado
fragrant	fragante
supreme	supremo
biting	mordaz
pervert	pervertido
illumine	iluminar
eccentric	excéntrico
rattle	sonajero
laconic	lacónico
congested	congestionado
fraud	fraude
unyielding	inflexible
destitution	miseria
conservative	conservador
scam	estafa
decadent	decadente
brazenly	descaradamente
mercy	misericordia
shortsightedness	miopía
condemned	condenado
dumbfounded	estupefacto
exemplary	ejemplar
spoon-feed	mimar
feckless	irresponsable
survival	supervivencia
fucking	jodido
clogs	zuecos
wins	victorias
kooky	excéntrica
self-criticism	autocrítica
decayed	deteriorado
dispirit	desalentar
spook	espectro
festive	festivo
dismally	tristemente
denies	niega
insufficient	insuficiente
dependably	fiable
outbreak	brote
contrive	idear
confidence	confianza
adversary	adversario
stabilize	estabilizar
worrisome	inquietante
lovely	precioso
spectacularly	espectacularmente
enrage	enfurecer
breeze	brisa
god-awful	espantoso
irritably	irritado
vomiting	vómitos
offenses	delitos
adamantly	inflexiblemente
admirably	admirablemente
desolately	tristemente
dogmatic	dogmático
condemnation	condenación
deluge	diluvio
retard	retardar
suicidal	suicida
bore	taladro
hypocrisy	hipocresía
ineptitude	ineptitud
dropouts	abandonos
brute	bruto
frenetic	frenético
richness	riqueza
bother	molestar
rip	rasgón
flickers	parpadeos
tantalize	atormentar
meddle	entrometerse
extravagance	extravagancia
naive	ingenuo
dominates	domina
gimmicks	trucos
jitters	nervios
dismayed	consternados
unparalleled	incomparable
fancy	fantasía
heroically	heroicamente
awfully	terriblemente
incommensurate	inconmensurable
versatility	versatilidad
disappointments	decepciones
deference	deferencia
imprecisely	imprecisa
unabashed	desvergonzado
monstrous	monstruoso
gratify	satisfacer
credulous	crédulo
fastuous	fastuoso
dull	aburrido
